"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C3","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","4.00548mm","16.19548mm","4.00548mm","16.19548mm","3.386762mm","15.576762mm","T","45","100nF",
"C4","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","37.75048mm","12.28548mm","37.75048mm","12.28548mm","36.87548mm","12.28548mm","T","0","100nF",
"C5","CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder","6.30548mm","36.97548mm","6.30548mm","36.97548mm","6.30548mm","35.35048mm","T","90","10uF",
"C6","CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder","11.69548mm","40.50548mm","11.69548mm","40.50548mm","10.07048mm","40.50548mm","T","0","10uF",
"C7","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder","15.38548mm","39.33548mm","15.38548mm","39.33548mm","15.38548mm","38.46048mm","T","90","100nF",
"F1","Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder","4.90548mm","32.13548mm","4.90548mm","32.13548mm","7.13048mm","32.13548mm","T","180","MF-MSMF050",
"Q1","TSOT-23","42.80548mm","22.31548mm","42.80548mm","22.31548mm","41.85548mm","21.00548mm","T","90","S8050",
"Q2","TSOT-23","40.09548mm","17.83548mm","40.09548mm","17.83548mm","39.14548mm","16.52548mm","T","90","S8050",
"R1","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","10.25548mm","26.86548mm","10.25548mm","26.86548mm","10.874198mm","27.484198mm","T","225","5.1k",
"R10","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","36.82548mm","10.00048mm","36.82548mm","10.00048mm","36.82548mm","9.12548mm","T","90","10k",
"R11","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","38.66548mm","10.01048mm","38.66548mm","10.01048mm","38.66548mm","9.13548mm","T","90","10k",
"R12","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","37.18548mm","15.74548mm","37.18548mm","15.74548mm","37.18548mm","16.62048mm","T","270","10k",
"R13","R_0402_1005Metric","36.39548mm","40.65548mm","36.39548mm","40.65548mm","36.88048mm","40.65548mm","T","180","10k-NC",
"R14","R_0402_1005Metric","34.42548mm","40.66548mm","34.42548mm","40.66548mm","34.91048mm","40.66548mm","T","180","0-NC",
"R2","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder","10.27548mm","22.63048mm","10.27548mm","22.63048mm","10.894198mm","22.011762mm","T","135","5.1k",
